number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
99,300K21 (B),ASME B31.3,-46 / 260,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,HT only for welds with PWHT,300K21B,Pipe line class 300K21 (B). Design code ASME B31.3. Design temperature range -46 / 260 deg C. Material LTCS. Comments HT only for welds with PWHT.
100,300K5A (AG) & (UG),ASME B31.8,-40 / 88,LTCS  - API 5L X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,300K5AAGUG,Pipe line class 300K5A (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS  - API 5L X60 (SMLS).
101,300K5D,ASME B31.3,-40 / 343,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,300K5D,Pipe line class 300K5D. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE.
102,300K5E (AG) & (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,300K5EAGUG,Pipe line class 300K5E (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS).
103,300K5F (AG) & (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,300K5FAGUG,Pipe line class 300K5F (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS).
104,300K5G (AG) & (UG),ASME B31.8,-46 / 95,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,300K5GAGUG,Pipe line class 300K5G (AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 95 deg C. Material Inconel 825. PMI 100.0.
105,300L02,ASME B31.3,-35 / 100,3.5% Ni - Steel,100 BW/5 SKT,100 SKT,0,,100,,300L02,Pipe line class 300L02. Design code ASME B31.3. Design temperature range -35 / 100 deg C. Material 3.5% Ni - Steel. PMI 100.0.
106,300MO6,ASME B31.3,-36 / 130,6% Moly (UNS31254),5 BW/SKT,100 SKT,0,,100,,300MO6,Pipe line class 300MO6. Design code ASME B31.3. Design temperature range -36 / 130 deg C. Material 6% Moly (UNS31254). PMI 100.0.
107,300N02,ASME B31.3,-110 / 100,316/L SS,100 BW/5 SKT,100 SKT,0,,100,,300N02,Pipe line class 300N02. Design code ASME B31.3. Design temperature range -110 / 100 deg C. Material 316/L SS. PMI 100.0.
108,300N03,ASME B31.3,38 / 250,316L SS,100 BW/5 SKT,100 SKT,0,,100,,300N03,Pipe line class 300N03. Design code ASME B31.3. Design temperature range 38 / 250 deg C. Material 316L SS. PMI 100.0.
