id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
191,900H21,ASME B31.3,-40 / 410,LTCS NACE,16 - 30,30.96 - 49.00,21PW,Y,,900H21,30.96,49,Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 16 - 30 in. Thickness range 30.96 - 49.00 mm. WPS number 21PW. PWHT Y.
192,900H25,ASME B31.3,-40 / 410,LTCS NACE,3/4 - 3,5.56 - 11.13,20AW,N,,900H25,5.56,11.13,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number 20AW. PWHT N.
193,900H25,ASME B31.3,-40 / 410,LTCS NACE,4 - 4,11.13 - 11.13,21AW,N,,900H25,11.13,11.13,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 11.13 - 11.13 mm. WPS number 21AW. PWHT N.
194,900H25,ASME B31.3,-40 / 410,LTCS NACE,16 - 24,30.96 - 52.37,21PW,Y,,900H25,30.96,52.37,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 16 - 24 in. Thickness range 30.96 - 52.37 mm. WPS number 21PW. PWHT Y.
195,900H5H (AG),ASME B31.8,-40 / 80,LTCS - SMYS≤ 42 ksi (290 Mpa),1/2 - 3,5.56 - 11.13,"F-001AW, Note (6)",N,For above ground welds only,900H5HAG,5.56,11.13,"Pipe line class 900H5H (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - SMYS≤ 42 ksi (290 Mpa). Diameter 1/2 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001AW, Note (6). PWHT N. Comments For above ground welds only."
196,900H5H (AG),ASME B31.8,-40 / 80,LTCS - API X60 (SMLS),4 - 6,6.02 - 7.11,"F-002AW, Note (6)",N,For above ground welds only,900H5HAG,6.02,7.11,"Pipe line class 900H5H (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X60 (SMLS). Diameter 4 - 6 in. Thickness range 6.02 - 7.11 mm. WPS number F-002AW, Note (6). PWHT N. Comments For above ground welds only."
197,900H5H (UG),ASME B31.8,-40 / 80,LTCS - API X52 (SMLS),2,6,"F-001AW, Note (6)",N,For below ground pipeline welds only,900H5HUG,6,6,"Pipe line class 900H5H (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X52 (SMLS). Diameter 2 in. Thickness range 6 mm. WPS number F-001AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
198,900H5H (UG),ASME B31.8,-40 / 80,LTCS - API X60 (SMLS),4 - 6,6.02 - 6.35,"F-002AW, Note (6)",N,For below ground pipeline welds only,900H5HUG,6.02,6.35,"Pipe line class 900H5H (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X60 (SMLS). Diameter 4 - 6 in. Thickness range 6.02 - 6.35 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
199,900K21,ASME B31.3,-40 / 260,LTCS NACE,1/2 - 3,4.78 - 11.13,20PW,Y,,900K21,4.78,11.13,Pipe line class 900K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.78 - 11.13 mm. WPS number 20PW. PWHT Y.
200,900K21,ASME B31.3,-40 / 260,LTCS NACE,> 3,11.13 - 59.0,21PW,Y,,900K21,11.13,59,Pipe line class 900K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 11.13 - 59.0 mm. WPS number 21PW. PWHT Y.
201,900K23,ASME B31.3,-46 / 200,LTCS NACE,1 - 3,9.09 - 11.07,20PW,Y,,900K23,9.09,11.07,Pipe line class 900K23. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS NACE. Diameter 1 - 3 in. Thickness range 9.09 - 11.07 mm. WPS number 20PW. PWHT Y.
202,900K23,ASME B31.3,-46 / 200,LTCS NACE,> 3,17.12 - 36.53,21PW,Y,,900K23,17.12,36.53,Pipe line class 900K23. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 17.12 - 36.53 mm. WPS number 21PW. PWHT Y.
203,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,5.56 - 11.13,"F-001PW, Note (6)",Y,For above ground welds only,900K5BAG,5.56,11.13,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
204,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,8.56 - 15.88,"F-002PW, Note (6)",Y,For above ground welds only,900K5BAG,8.56,15.88,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 8.56 - 15.88 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
205,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),> 12,19.05 - 19.05,"F-017PW, Note (6)",Y,For above ground welds only,900K5BAG,19.05,19.05,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 19.05 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
206,900K5B (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),≥ 6,7.92 - 7.92,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5BUG,7.92,7.92,"Pipe line class 900K5B (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter ≥ 6 in. Thickness range 7.92 - 7.92 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
207,900K5C (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),6 - 8,9.53 - 10.31,"F-002PW, Note (6)",Y,For above ground welds only,900K5CAG,9.53,10.31,"Pipe line class 900K5C (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 6 - 8 in. Thickness range 9.53 - 10.31 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
