Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,U04,821,OLETS,9002467,WELDOLET WT 12.70 MM/ SCH XS WT LTCS A694 F60,300K5A,1,1,16,16,BB,2820
bb_fgp,U04,821,OLETS,9005087,WELDOLET WT 12.70 MM/STD WT LTCS A694 F60,300K5A,3,3,16,16,BB,2830
bb_fgp,U04,821,,9005083,WELDOLET WT 15.88 MM/ SCH STD LTCS A694 F60,300K5A,3,3,16,16,BB,2840
bb_fgp,U04,821,,9005045,WELDOLET WT 15.88 MM/ SCH XS LTCS A694 F60,300K5A,1,1,16,16,BB,2850
bb_fgp,U04,817,FLANGE,5563364,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 10.0MM,1500F22,4,4,0,0,BB,2070
bb_fgp,U04,821,,9005126,WELDOLET WT 20.62 MM/ SCH XS LTCS A694 F60,300K5A,2,2,24,24,BB,2860
bb_fgp,U04,,OLETS,9006408,WELDOLET WT 6.35 MM/6.02 MM LTCS A694 F60,300K5A,4,4,12,12,BB,2870
bb_fgp,,,,,,300K5A,,,,,BB,2880
bb_fgp,U04,,OLETS,5504450,NIPOFLANGE 300# RF SCH XS/160 LTCS A350 LF2 CL.1,300K5A,0.75,0.75,2,2,BB,2880
bb_fgp,U04,,OLETS,5504451,NIPOFLANGE 300# RF SCH STD/SCH 160 LTCS A350 LF2 CL.1,300K5A,0.75,0.75,3,3,BB,2890
bb_fgp,,,OLETS,9006807,NIPOFLANGE 300# RF 6.02 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,4,4,BB,2900
bb_fgp,,,OLETS,9006808,NIPOFLANGE 300# RF 6.35 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,6,10,BB,2910
bb_fgp,,,OLETS,9006809,NIPOFLANGE 300# RF 7.14 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,12,14,BB,2920
bb_fgp,,,OLETS,9006810,NIPOFLANGE 300# RF 7.92 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,16,18,BB,2930
bb_fgp,,,OLETS,9006811,NIPOFLANGE 300# RF 8.74 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,20,20,BB,2940
bb_fgp,U04,817,FLANGE,5563365,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 13.0MM,1500F22,6,6,0,0,BB,2080
bb_fgp,,,OLETS,9006812,NIPOFLANGE 300# RF 9.53 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,24,24,BB,2950
bb_fgp,,,OLETS,9006813,NIPOFLANGE 300# RF 10.31 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,28,28,BB,2960
